Dataset,Seed,Fold,View,Weight
AD,1,2,View_2,0.090822056
AD,1,2,View_3,0.09332454
AD,1,2,View_4,0.6313376
AD,1,2,View_5,0.09027994
AD,1,3,View_1,0.09263195
AD,1,3,View_2,0.08932837
AD,1,3,View_3,0.09193214
AD,1,3,View_4,0.6352417
AD,1,3,View_5,0.09086586
AD,1,4,View_1,0.09498594
AD,1,4,View_2,0.09212198
AD,1,4,View_3,0.09545911
AD,1,4,View_4,0.62593615
AD,1,4,View_5,0.09149683
AD,1,5,View_1,0.09552595
AD,1,5,View_2,0.09052589
AD,1,5,View_3,0.092262276
AD,1,5,View_4,0.6320282
AD,1,5,View_5,0.08965762
AD,2,1,View_1,0.09465572
AD,2,1,View_2,0.089315005
AD,2,1,View_3,0.091938265
AD,2,1,View_4,0.6357315
AD,2,1,View_5,0.08835942
AD,2,2,View_1,0.09251144
AD,2,2,View_2,0.08797188
AD,2,2,View_3,0.09045946
AD,2,2,View_4,0.64140177
AD,2,2,View_5,0.08765539
AD,2,3,View_1,0.09565046
AD,2,3,View_2,0.09148004
AD,2,3,View_3,0.09454811
AD,2,3,View_4,0.6274004
AD,2,3,View_5,0.09092103
AD,2,4,View_1,0.09315314
AD,2,4,View_2,0.09003296
AD,2,4,View_3,0.09286947
AD,2,4,View_4,0.6345771
AD,2,4,View_5,0.089367405
AD,2,5,View_1,0.094948106
AD,2,5,View_2,0.09016918
AD,2,5,View_3,0.092934124
AD,2,5,View_4,0.6323114
AD,2,5,View_5,0.08963718
AD,3,1,View_1,0.093287826
AD,3,1,View_2,0.08950184
AD,3,1,View_3,0.09127699
AD,3,1,View_4,0.63742965
AD,3,1,View_5,0.08850366
AD,3,2,View_1,0.09548169
AD,3,2,View_2,0.09218862
AD,3,2,View_3,0.09408271
AD,3,2,View_4,0.62651294
AD,3,2,View_5,0.091734014
AD,3,3,View_1,0.09374415
AD,3,3,View_2,0.08970536
AD,3,3,View_3,0.091598764
AD,3,3,View_4,0.6364887
AD,3,3,View_5,0.088463105
AD,3,4,View_1,0.09451835
AD,3,4,View_2,0.090664044
AD,3,4,View_3,0.09462173
AD,3,4,View_4,0.63053876
AD,3,4,View_5,0.08965711
AD,3,5,View_1,0.092507355
AD,3,5,View_2,0.089521244
AD,3,5,View_3,0.09191159
AD,3,5,View_4,0.6381777
AD,3,5,View_5,0.087882034
AD,4,1,View_1,0.09612653
AD,4,1,View_2,0.09201409
AD,4,1,View_3,0.09460094
AD,4,1,View_4,0.6260261
AD,4,1,View_5,0.0912324
AD,4,2,View_1,0.09392022
AD,4,2,View_2,0.091151714
AD,4,2,View_3,0.09296993
AD,4,2,View_4,0.6330273
AD,4,2,View_5,0.088930875
AD,4,3,View_1,0.09582204
AD,4,3,View_2,0.0906743
AD,4,3,View_3,0.092122465
AD,4,3,View_4,0.6313256
AD,4,3,View_5,0.09005551
AD,4,4,View_1,0.093910165
AD,4,4,View_2,0.09077819
AD,4,4,View_3,0.09306334
AD,4,4,View_4,0.63314795
AD,4,4,View_5,0.08910025
AD,4,5,View_1,0.09200899
AD,4,5,View_2,0.08820194
AD,4,5,View_3,0.091119334
AD,4,5,View_4,0.64038324
AD,4,5,View_5,0.08828645
HCDR,0,1,View_1,0.4261524
HCDR,0,1,View_2,0.35717225
HCDR,0,1,View_3,0.2166754
HCDR,0,2,View_1,0.40980583
HCDR,0,2,View_2,0.37112206
HCDR,0,2,View_3,0.21907216
HCDR,0,3,View_1,0.41969708
HCDR,0,3,View_2,0.35979134
HCDR,0,3,View_3,0.22051157
HCDR,0,4,View_1,0.41540167
HCDR,0,4,View_2,0.36204755
HCDR,0,4,View_3,0.22255084
HCDR,0,5,View_1,0.4105314
HCDR,0,5,View_2,0.3692188
HCDR,0,5,View_3,0.22024985
HCDR,1,1,View_1,0.4123102
HCDR,1,1,View_2,0.36968377
HCDR,1,1,View_3,0.21800603
HCDR,1,2,View_1,0.42203578
HCDR,1,2,View_2,0.35744497
HCDR,1,2,View_3,0.2205193
HCDR,1,3,View_1,0.4155721
HCDR,1,3,View_2,0.36162588
HCDR,1,3,View_3,0.22280201
HCDR,1,4,View_1,0.41601068
HCDR,1,4,View_2,0.36655512
HCDR,1,4,View_3,0.21743426
HCDR,1,5,View_1,0.42010045
HCDR,1,5,View_2,0.36028278
HCDR,1,5,View_3,0.21961668
HCDR,2,1,View_1,0.41899398
HCDR,2,1,View_2,0.3591336
HCDR,2,1,View_3,0.22187237
HCDR,2,2,View_1,0.41775748
HCDR,2,2,View_2,0.36039156
HCDR,2,2,View_3,0.22185092
HCDR,2,3,View_1,0.41478884
HCDR,2,3,View_2,0.36705518
HCDR,2,3,View_3,0.21815595
HCDR,2,4,View_1,0.4075444
HCDR,2,4,View_2,0.37164217
HCDR,2,4,View_3,0.22081342
HCDR,2,5,View_1,0.41956818
HCDR,2,5,View_2,0.36061054
HCDR,2,5,View_3,0.21982133
HCDR,3,1,View_1,0.4216401
HCDR,3,1,View_2,0.35936996
